iter	Passed	Remaining
414	3037	11600
415	3044	11594
416	3052	11586
417	3057	11572
418	3065	11568
419	3072	11559
420	3079	11551
421	3086	11542
422	3094	11535
423	3101	11527
424	3105	11508
425	3110	11491
426	3115	11476
427	3119	11458
428	3123	11439
429	3130	11430
430	3135	11414
431	3140	11400
432	3146	11388
433	3151	11372
434	3156	11354
435	3162	11343
436	3165	11321
437	3169	11303
438	3174	11288
439	3180	11275
440	3185	11262
441	3191	11250
442	3197	11236
443	3202	11221
444	3208	11212
445	3214	11198
446	3218	11181
447	3223	11168
448	3228	11153
449	3233	11136
450	3237	11119
451	3244	11111
452	3249	11096
453	3253	11077
454	3259	11066
455	3264	11052
456	3268	11036
457	3274	11023
458	3279	11011
459	3283	10993
460	3288	10978
461	3293	10965
462	3298	10950
463	3302	10932
464	3309	10923
465	3314	10910
466	3318	10894
467	3326	10887
468	3330	10872
469	3335	10858
470	3341	10848
471	3346	10833
472	3351	10818
473	3359	10814
474	3364	10800
475	3368	10784
476	3376	10779
477	3380	10764
478	3386	10753
479	3394	10747
480	3398	10733
481	3404	10721
482	3410	10711
483	3416	10700
484	3423	10695
485	3428	10681
486	3433	10666
487	3440	10658
488	3444	10643
489	3448	10627
490	3454	10618
491	3460	10606
492	3464	10591
493	3470	10579
494	3476	10569
495	3481	10555
496	3486	10544
497	3491	10531
498	3496	10517
499	3501	10505
500	3506	10491
501	3511	10478
502	3518	10472
503	3524	10462
504	3532	10457
505	3542	10458
506	3549	10453
507	3558	10451
508	3563	10438
509	3569	10428
510	3574	10415
511	3578	10400
512	3584	10389
513	3588	10375
514	3594	10364
515	3602	10360
516	3608	10349
517	3612	10336
518	3621	10334
519	3628	10327
520	3638	10327
521	3645	10320
522	3652	10314
523	3658	10304
524	3664	10296
525	3671	10287
526	3676	10276
527	3682	10266
528	3688	10255
529	3694	10247
530	3702	10241
531	3707	10230
532	3714	10224
533	3721	10215
534	3725	10202
535	3731	10191
536	3735	10178
537	3741	10166
538	3747	10157
539	3752	10145
540	3757	10134
541	3765	10128
542	3769	10114
543	3775	10104
544	3783	10100
545	3788	10087
546	3793	10075
547	3799	10068
548	3805	10057
549	3812	10050
550	3818	10040
551	3822	10028
552	3830	10022
553	3835	10010
554	3841	10000
555	3849	9998
556	3856	9989
557	3864	9986
558	3868	9971
559	3871	9955
560	3877	9945
561	3881	9931
562	3885	9917
563	3889	9903
564	3896	9895
565	3901	9883
566	3905	9870
567	3911	9862
568	3916	9849
569	3920	9836
570	3927	9828
571	3931	9815
572	3936	9803
573	3940	9790
574	3945	9778
575	3950	9766
576	3955	9753
577	3960	9744
578	3965	9732
579	3970	9720
580	3975	9709
581	3980	9697
582	3985	9687
583	3991	9678
584	3996	9667
585	4002	9658
586	4009	9651
587	4013	9638
588	4018	9626
589	4026	9623
590	4031	9611
591	4036	9600
592	4043	9594
593	4048	9583
594	4054	9574
595	4061	9568
596	4067	9558
597	4075	9555
598	4080	9542
599	4084	9530
600	4090	9521
601	4096	9512
602	4100	9500
603	4106	9491
604	4111	9481
605	4117	9470
606	4123	9463
607	4129	9453
608	4135	9446
609	4141	9438
610	4146	9425
611	4150	9413
612	4157	9407
613	4161	9394
614	4165	9380
615	4171	9371
616	4176	9361
617	4180	9349
618	4186	9340
619	4191	9329
620	4195	9317
621	4199	9304
622	4206	9296
623	4209	9283
624	4219	9282
625	4225	9273
626	4229	9262
627	4237	9256
628	4242	9248
629	4247	9236
630	4254	9229
631	4258	9218
632	4264	9208
633	4269	9199
634	4274	9188
635	4279	9177
636	4286	9171
637	4291	9162
638	4296	9150
639	4302	9142
640	4307	9133
641	4313	9123
642	4319	9116
643	4326	9109
644	4332	9100
645	4338	9093
646	4344	9085
647	4352	9081
648	4358	9072
649	4362	9061
650	4370	9056
651	4375	9046
652	4380	9035
653	4385	9025
654	4390	9016
655	4395	9005
656	4401	8998
657	4407	8989
658	4412	8979
659	4418	8970
660	4422	8958
661	4427	8948
662	4433	8939
663	4437	8928
664	4441	8917
665	4448	8910
666	4452	8898
667	4456	8887
668	4463	8881
669	4469	8872
670	4473	8860
671	4480	8854
672	4485	8844
673	4489	8833
674	4495	8823
675	4501	8816
676	4505	8805
677	4512	8798
678	4518	8790
679	4523	8780
680	4528	8771
681	4534	8762
682	4539	8752
683	4545	8746
684	4551	8737
685	4556	8727
686	4565	8725
687	4569	8714
688	4574	8704
689	4582	8701
690	4587	8691
691	4592	8680
692	4598	8672
693	4603	8663
694	4609	8654
695	4614	8646
696	4619	8635
697	4625	8628
698	4630	8619
699	4634	8607
700	4639	8597
701	4645	8590
702	4649	8578
703	4654	8568
704	4661	8562
705	4666	8552
706	4670	8541
707	4676	8534
708	4681	8525
709	4686	8515
710	4692	8507
711	4697	8498
712	4701	8486
713	4706	8476
714	4712	8468
715	4717	8460
716	4725	8455
717	4731	8448
718	4737	8439
719	4743	8433
720	4748	8422
721	4753	8414
722	4761	8410
723	4766	8400
724	4773	8394
725	4779	8386
726	4783	8375
727	4788	8367
728	4794	8359
729	4798	8348
730	4804	8340
731	4810	8332
732	4815	8323
733	4819	8312
734	4826	8307
735	4832	8299
736	4839	8293
737	4844	8284
738	4850	8275
739	4856	8268
740	4861	8259
741	4865	8249
742	4872	8242
743	4876	8232
744	4880	8222
745	4887	8215
746	4892	8206
747	4896	8196
748	4901	8186
749	4907	8179
750	4911	8169
751	4916	8159
752	4922	8151
753	4927	8142
754	4931	8131
755	4937	8124
756	4942	8115
757	4946	8105
758	4952	8097
759	4957	8089
760	4962	8079
761	4967	8069
762	4971	8059
763	4975	8049
764	4980	8040
765	4987	8033
766	4991	8024
767	4997	8017
768	5003	8009
769	5007	7999
770	5013	7991
771	5019	7984
772	5024	7974
773	5028	7964
774	5034	7958
775	5039	7948
776	5043	7939
777	5050	7933
778	5055	7923
779	5059	7914
780	5064	7904
781	5070	7897
782	5074	7887
783	5079	7877
784	5084	7870
785	5089	7861
786	5094	7851
787	5100	7844
788	5106	7837
789	5110	7828
790	5117	7821
791	5122	7812
792	5126	7803
793	5132	7796
794	5137	7787
795	5141	7777
796	5147	7769
797	5151	7759
798	5155	7749
799	5161	7742
800	5168	7736
801	5172	7726
802	5177	7717
803	5183	7710
804	5187	7700
805	5191	7690
806	5198	7684
807	5202	7675
808	5207	7666
809	5214	7660
810	5219	7651
811	5223	7642
812	5229	7635
813	5235	7628
814	5239	7618
815	5245	7610
816	5250	7602
817	5255	7593
818	5259	7584
819	5264	7576
820	5269	7567
821	5274	7558
822	5280	7551
823	5284	7542
824	5289	7533
825	5295	7525
826	5299	7516
827	5303	7507
828	5309	7499
829	5314	7491
830	5320	7484
831	5327	7479
832	5333	7471
833	5338	7463
834	5345	7458
835	5351	7450
836	5356	7443
837	5364	7438
838	5370	7431
839	5377	7426
840	5384	7420
841	5391	7414
842	5397	7408
843	5402	7399
844	5409	7393
845	5414	7386
846	5419	7378
847	5429	7376
848	5434	7368
849	5443	7365
850	5450	7358
851	5457	7353
852	5463	7347
853	5469	7339
854	5477	7334
855	5483	7328
856	5494	7327
857	5498	7319
858	5503	7310
859	5511	7305
860	5516	7297
861	5522	7290
862	5528	7283
863	5533	7275
864	5540	7269
865	5545	7261
866	5550	7253
867	5556	7246
868	5561	7238
869	5566	7229
870	5572	7223
871	5576	7214
872	5581	7205
873	5587	7198
874	5595	7194
875	5600	7185
876	5607	7180
877	5613	7172
878	5617	7163
879	5623	7156
880	5627	7148
881	5633	7140
882	5640	7135
883	5645	7127
884	5652	7121
885	5657	7113
886	5662	7104
887	5667	7097
888	5674	7091
889	5680	7084
890	5686	7077
891	5692	7070
892	5696	7061
893	5703	7055
894	5708	7047
895	5714	7040
896	5720	7034
897	5724	7025
898	5728	7015
899	5735	7009
900	5739	7001
901	5744	6992
902	5753	6989
903	5759	6982
904	5768	6979
905	5776	6975
906	5786	6973
907	5793	6967
908	5801	6963
909	5807	6956
910	5812	6948
911	5821	6944
912	5825	6936
913	5831	6928
914	5838	6923
915	5843	6915
916	5849	6908
917	5855	6901
918	5861	6895
919	5869	6890
920	5874	6882
921	5882	6877
922	5888	6871
923	5894	6864
924	5902	6860
925	5909	6853
926	5916	6848
927	5922	6841
928	5930	6837
929	5936	6829
930	5940	6821
931	5947	6814
932	5951	6806
933	5955	6797
934	5963	6792
935	5968	6784
936	5973	6776
937	5980	6771
938	5986	6764
939	5991	6756
940	5999	6751
941	6004	6744
942	6010	6736
943	6015	6729
944	6019	6720
945	6024	6712
946	6031	6706
947	6036	6698
948	6041	6691
949	6048	6685
950	6052	6676
951	6057	6667
952	6063	6661
953	6067	6652
954	6072	6645
955	6079	6638
956	6084	6631
957	6089	6623
958	6096	6617
959	6101	6609
960	6107	6603
961	6113	6596
962	6117	6587
963	6122	6579
964	6128	6573
965	6133	6565
966	6137	6556
967	6144	6550
968	6148	6542
969	6153	6534
970	6160	6528
971	6164	6519
972	6168	6510
973	6174	6504
974	6180	6497
975	6185	6489
976	6191	6482
977	6196	6475
978	6201	6467
979	6208	6462
980	6213	6454
981	6218	6446
982	6223	6438
983	6227	6430
984	6232	6421
985	6236	6413
986	6243	6407
987	6248	6399
988	6255	6394
989	6260	6386
990	6264	6377
991	6268	6369
992	6275	6363
993	6279	6355
994	6283	6346
995	6290	6340
996	6294	6332
997	6299	6324
998	6305	6317
999	6310	6310
1000	6314	6302
1001	6320	6294
1002	6326	6288
1003	6330	6280
1004	6336	6273
1005	6340	6265
1006	6346	6258
1007	6351	6250
1008	6357	6244
1009	6362	6236
1010	6368	6230
1011	6374	6223
1012	6379	6215
1013	6387	6211
1014	6392	6203
1015	6398	6196
1016	6407	6193
1017	6412	6185
1018	6420	6180
1019	6427	6175
1020	6433	6169
1021	6439	6162
1022	6444	6154
1023	6450	6148
1024	6455	6140
1025	6460	6133
1026	6467	6127
1027	6472	6120
1028	6476	6111
1029	6481	6103
1030	6488	6098
1031	6493	6090
1032	6497	6082
1033	6503	6075
1034	6507	6067
1035	6512	6059
1036	6518	6053
1037	6523	6045
1038	6527	6037
1039	6534	6032
1040	6540	6025
1041	6546	6018
1042	6552	6012
1043	6557	6005
1044	6563	5998
1045	6569	5991
1046	6573	5983
1047	6579	5976
1048	6585	5969
1049	6589	5961
1050	6592	5953
1051	6598	5946
1052	6603	5938
1053	6608	5931
1054	6615	5925
1055	6620	5918
1056	6624	5910
1057	6630	5903
1058	6635	5896
1059	6639	5888
1060	6644	5880
1061	6650	5874
1062	6655	5866
1063	6660	5859
1064	6666	5853
1065	6671	5845
1066	6675	5836
1067	6681	5830
1068	6686	5823
1069	6691	5815
1070	6697	5809
1071	6702	5801
1072	6707	5794
1073	6712	5787
1074	6716	5779
1075	6722	5772
1076	6727	5765
1077	6732	5758
1078	6737	5750
1079	6742	5743
1080	6748	5737
1081	6753	5729
1082	6760	5724
1083	6766	5718
1084	6771	5710
1085	6777	5704
1086	6782	5696
1087	6786	5688
1088	6791	5681
1089	6798	5675
1090	6802	5667
1091	6807	5660
1092	6813	5653
1093	6817	5646
1094	6821	5637
1095	6827	5631
1096	6832	5624
1097	6836	5616
1098	6842	5609
1099	6847	5602
1100	6852	5595
1101	6857	5588
1102	6863	5581
1103	6868	5574
1104	6872	5566
1105	6878	5559
1106	6883	5552
1107	6887	5544
1108	6894	5538
1109	6898	5531
1110	6904	5524
1111	6911	5519
1112	6915	5511
1113	6921	5504
1114	6927	5498
1115	6932	5491
1116	6936	5483
1117	6943	5477
1118	6948	5470
1119	6953	5463
1120	6959	5457
1121	6964	5450
1122	6969	5442
1123	6976	5437
1124	6982	5431
1125	6989	5424
1126	6994	5417
1127	6998	5410
1128	7006	5405
1129	7011	5397
1130	7015	5390
1131	7021	5384
1132	7026	5376
1133	7030	5368
1134	7034	5361
1135	7040	5354
1136	7044	5347
1137	7049	5339
1138	7056	5334
1139	7060	5326
1140	7065	5319
1141	7071	5312
1142	7077	5306
1143	7081	5298
1144	7088	5293
1145	7092	5285
1146	7096	5277
1147	7100	5269
1148	7106	5263
1149	7110	5255
1150	7115	5248
1151	7121	5242
1152	7126	5235
1153	7130	5227
1154	7137	5221
1155	7142	5214
1156	7148	5208
1157	7155	5202
1158	7160	5195
1159	7165	5188
1160	7171	5182
1161	7176	5175
1162	7180	5168
1163	7187	5161
1164	7192	5154
1165	7197	5147
1166	7203	5141
1167	7207	5134
1168	7212	5127
1169	7218	5120
1170	7222	5113
1171	7227	5106
1172	7235	5101
1173	7239	5093
