iter	RMSE
0	0.1085097445
1	0.1064325455
2	0.1044114773
3	0.1023931707
4	0.1004713215
5	0.09851284601
6	0.09664311058
7	0.0947807925
8	0.09299152861
9	0.09123003582
10	0.08947647978
11	0.08774067947
12	0.08606072496
13	0.08441295218
14	0.08280183806
15	0.08124960377
16	0.07967182081
17	0.07812043348
18	0.07664586423
19	0.07517775587
20	0.07376719828
21	0.07234008902
22	0.07095751591
23	0.06961175768
24	0.06829569039
25	0.06701119344
26	0.06573684785
27	0.06449082531
28	0.06325343109
29	0.06208305988
30	0.06089277639
31	0.05974432906
32	0.05864224337
33	0.05754560616
34	0.05647329943
35	0.05540149114
36	0.05437549576
37	0.05334533333
38	0.05232370416
39	0.05135684737
40	0.05040652362
41	0.04945444872
42	0.04851329784
43	0.04760700409
44	0.04670262508
45	0.04582113575
46	0.04494769721
47	0.04411697088
48	0.04327929295
49	0.04245118737
50	0.04164311916
51	0.04085483055
52	0.04008203245
53	0.03933865264
54	0.03859091966
55	0.03785889784
56	0.03714204641
57	0.03643923982
58	0.0357379339
59	0.03505110968
60	0.03438054044
61	0.03374277636
62	0.03313134686
63	0.03249770935
64	0.03189129794
65	0.03130003011
66	0.03070657652
67	0.03013427609
68	0.02956784159
69	0.02901131722
70	0.02847917409
71	0.02793620096
72	0.02742315691
73	0.02693015351
74	0.02642368451
75	0.02594359155
76	0.02545922599
77	0.02498236892
78	0.02450905781
79	0.02406450907
80	0.02361672472
81	0.02319343249
82	0.02275487487
83	0.0223437856
84	0.02192191552
85	0.02151657288
86	0.02111570766
87	0.02072513525
88	0.02033492737
89	0.0199602508
90	0.01959929017
91	0.0192414987
92	0.01888757901
93	0.01854656605
94	0.01820020194
95	0.01786315089
96	0.01753686247
97	0.01721698823
98	0.0169062649
99	0.01659698052
100	0.01628968386
101	0.01599297396
102	0.01569821583
103	0.01541634091
104	0.01513734275
105	0.01486216957
106	0.01459681111
107	0.01433786963
108	0.01408259539
109	0.01384103068
110	0.01359575751
111	0.01335632255
112	0.01312276724
113	0.01288805398
114	0.01266500767
115	0.01244314616
116	0.01222081874
117	0.01200279716
118	0.01179001108
119	0.01158109812
120	0.01137882367
121	0.01118147124
122	0.0109872612
123	0.01080003811
124	0.0106218881
125	0.01043592987
126	0.01025859395
127	0.01008239982
128	0.009907593887
129	0.009738186042
130	0.009576933241
131	0.009420841304
132	0.009261217765
133	0.009103733129
134	0.008957178865
135	0.008805206934
136	0.00865959979
137	0.008515812474
138	0.008381094878
139	0.008245413587
140	0.008114019482
141	0.007986541596
142	0.007855126484
143	0.0077330125
144	0.00760940169
145	0.00749019124
146	0.007374148101
147	0.00726186105
148	0.007150007095
149	0.007038169555
150	0.006933430022
151	0.006830187231
152	0.006731199626
153	0.006627903475
154	0.006530271453
155	0.006433736443
156	0.006341320917
157	0.006250716157
158	0.006158706584
159	0.006072788556
160	0.005989703565
161	0.005904809147
162	0.005822932753
163	0.005742782991
164	0.005664065092
165	0.005585411972
166	0.005507953298
167	0.005439789461
168	0.00537319997
169	0.005303402062
170	0.005236585126
171	0.005169700866
172	0.005101922865
173	0.00504121328
174	0.004980935542
175	0.004920105996
176	0.004866139335
177	0.004808384542
178	0.00475234624
179	0.004699070397
180	0.004648987196
181	0.00459666121
182	0.004544485638
183	0.004498031213
184	0.004452515071
185	0.004404196386
186	0.004356354834
187	0.00430936919
188	0.004265267801
189	0.004223307817
190	0.004180765865
191	0.004143598277
192	0.004109000551
193	0.004070637247
194	0.004035363474
195	0.003999074857
196	0.003966482443
197	0.003932008149
198	0.003896717631
199	0.003862197679
200	0.003829508313
201	0.003802961818
202	0.003773845424
203	0.00374375632
204	0.003716016281
205	0.003686978735
206	0.003660390078
207	0.003632305975
208	0.003610233079
209	0.003583579911
210	0.003562315512
211	0.003543272493
212	0.00352022035
213	0.003497880197
214	0.003478269203
215	0.003456289242
216	0.003434203228
217	0.003417811453
218	0.003398012912
219	0.003377785413
220	0.003359211327
221	0.003341599954
222	0.003325802583
223	0.003308292625
224	0.003292132324
225	0.003276004518
226	0.003260315066
227	0.003243810081
228	0.003228571208
229	0.003213768849
230	0.003200972625
231	0.003187842816
232	0.003173665876
233	0.003162794151
234	0.003151122432
235	0.00313915189
236	0.00312760575
237	0.003117701051
238	0.003108688494
239	0.003098572681
240	0.003087624709
241	0.003078045869
242	0.003066461749
243	0.00305586521
244	0.003045794101
245	0.003037339962
246	0.003028251497
247	0.003020684637
248	0.003011731549
249	0.003003237862
250	0.002995778867
251	0.002988151387
252	0.002979964253
253	0.002972849341
254	0.002966575972
255	0.002961144926
256	0.002954414467
257	0.002948350287
258	0.002943005737
259	0.002937463056
260	0.002931841473
261	0.002927039322
262	0.002921559393
263	0.002916604074
264	0.002912092342
265	0.002907771022
266	0.002902379475
267	0.00289685795
268	0.002891753147
269	0.002887348648
270	0.00288285749
271	0.002878021731
272	0.002874507007
273	0.002871088484
274	0.002866634033
275	0.00286306186
276	0.002859376293
277	0.002855013043
278	0.002851463675
279	0.002848185376
280	0.002844551843
281	0.002841655293
282	0.002839087975
283	0.002836387672
284	0.002832562512
285	0.002828739938
286	0.002825712558
287	0.002822366968
288	0.00281995249
289	0.002816704639
290	0.002813544313
291	0.002811206528
292	0.002808568087
293	0.002806008294
294	0.002803488962
295	0.002801902725
296	0.002799902808
297	0.002796934911
298	0.00279475572
299	0.002792496113
300	0.002790162495
301	0.002788176743
302	0.002786063272
303	0.002784027491
304	0.002782278698
305	0.002780528813
306	0.002778626534
307	0.002777035824
308	0.002774783239
309	0.002772713132
310	0.00277099701
311	0.002769736428
312	0.002767350888
313	0.002765164095
314	0.002763080833
315	0.002761488842
316	0.002759762736
317	0.002758047693
318	0.002756212863
319	0.00275313038
320	0.002751075382
321	0.002749433179
322	0.002748009899
323	0.002746547528
324	0.002745491985
325	0.002743171966
326	0.002741822607
327	0.002740571144
328	0.002739239073
329	0.002737931301
330	0.002736383365
331	0.002735080484
332	0.002733705225
333	0.002732138656
334	0.002730489612
335	0.002729351929
336	0.002727856988
337	0.002726665657
338	0.002725010435
339	0.002723198491
340	0.002722077457
341	0.002720177874
342	0.002719059607
343	0.002718065133
344	0.002716737275
345	0.002715566994
346	0.002714330211
347	0.002712931441
348	0.002711745553
349	0.00271025727
350	0.002709036521
351	0.002707511459
352	0.002706776909
353	0.002706006415
354	0.002705269139
355	0.002704589263
356	0.002703350831
357	0.002701905877
358	0.002701054853
359	0.002700188577
360	0.002699193165
361	0.002698606691
362	0.002697415976
363	0.002696152539
364	0.002695541181
365	0.002694881726
366	0.002693569181
367	0.002692780621
368	0.002690940009
369	0.002690093408
370	0.002688994016
371	0.002687788077
372	0.002684767231
373	0.002684137335
374	0.00268325424
375	0.002682580384
376	0.002681436668
377	0.002680279532
378	0.002678669772
379	0.002677344085
380	0.002676359868
381	0.002675575384
382	0.002674432407
383	0.002673970242
384	0.002673241372
385	0.002672812445
386	0.0026712786
387	0.002670621918
388	0.002669932443
389	0.002668716054
390	0.002667766364
391	0.002665896071
392	0.00266359396
393	0.002662271793
394	0.002661585632
395	0.002660340839
396	0.002659285784
397	0.002657700256
398	0.002657221969
399	0.002655820953
400	0.00265517405
401	0.002654752166
402	0.002653363031
403	0.002652299752
404	0.00265129003
405	0.002650874495
406	0.002649879395
407	0.002648877904
408	0.002645397481
409	0.002643636458
410	0.002643169841
411	0.002642781076
412	0.002642034434
413	0.002641383661
414	0.002640324058
415	0.002639347894
416	0.002638739435
417	0.002637977737
418	0.002637149701
419	0.002636337997
420	0.002635859923
421	0.002635374903
422	0.002634153285
423	0.002633527077
424	0.002632623572
425	0.002630340101
426	0.002629037651
427	0.002628602863
428	0.00262713265
429	0.002626544424
430	0.002625840835
431	0.002625465143
432	0.002624641441
433	0.002624144302
434	0.002623156913
435	0.002622269561
436	0.002622203751
437	0.002621585879
438	0.002621039371
439	0.002620095957
440	0.002619056441
441	0.002617999822
442	0.00261721924
443	0.002616668136
444	0.002615867936
445	0.002615367972
446	0.002614857072
447	0.002613908707
448	0.002612336994
449	0.002610026935
450	0.00260814011
451	0.002606000875
452	0.002605633567
453	0.002604385156
454	0.002602521537
455	0.002599895724
456	0.002599617426
457	0.002599071593
458	0.002598217519
459	0.002596816651
460	0.002595740416
461	0.0025950552
462	0.002594391003
463	0.00259329007
464	0.002592931771
465	0.002591297561
466	0.00258960665
467	0.00258861201
468	0.002586604311
469	0.002585266777
470	0.002583893538
471	0.002583250193
472	0.002582024913
473	0.002581618933
474	0.002581364305
475	0.002580362739
476	0.002579889013
477	0.002577750365
478	0.002577030965
479	0.002576457214
480	0.002576167088
481	0.002575321475
482	0.002574808189
483	0.002574313455
484	0.002573860694
485	0.002572571862
486	0.002571943045
487	0.002570418811
488	0.002569458247
489	0.002568229392
490	0.002567319639
491	0.002566956498
492	0.002565771181
493	0.002564765911
494	0.002564096338
495	0.002563240927
496	0.002562572172
497	0.002561849244
498	0.00256134989
499	0.002560799302
500	0.002560514804
501	0.002559938135
502	0.002557717003
503	0.002556066145
504	0.002554827189
505	0.002552600053
506	0.002550991271
507	0.002550215976
508	0.002548075905
509	0.002547509804
510	0.002547187158
511	0.002545764673
512	0.002545244828
513	0.002543937263
514	0.002543209195
515	0.00254201856
516	0.002541085604
517	0.002539667094
518	0.002537238957
519	0.002535329228
520	0.002534954996
521	0.002534564126
522	0.002533698287
523	0.00253339112
524	0.002532721106
525	0.002532114179
526	0.002530301486
527	0.002528633108
528	0.002527281264
529	0.002525113894
